Time,Open,High,Low,Close,Volume
2024-03-26 23:00:00+00:00,1.08328,1.08332,1.08304,1.08325,808.0
2024-03-27 00:00:00+00:00,1.08325,1.08329,1.08274,1.08294,1671.0
2024-03-27 01:00:00+00:00,1.08294,1.08309,1.08206,1.08236,2577.0
2024-03-27 02:00:00+00:00,1.08236,1.0828,1.08236,1.0826,1834.0
2024-03-27 03:00:00+00:00,1.0826,1.08281,1.08242,1.08264,2027.0
2024-03-27 04:00:00+00:00,1.08264,1.08304,1.08264,1.083,715.0
2024-03-27 05:00:00+00:00,1.083,1.083,1.08254,1.08264,1077.0
2024-03-27 06:00:00+00:00,1.08264,1.08326,1.08246,1.08323,1617.0
2024-03-27 07:00:00+00:00,1.08323,1.08339,1.08231,1.08264,2904.0
2024-03-27 08:00:00+00:00,1.08264,1.08305,1.08214,1.08289,3105.0
2024-03-27 09:00:00+00:00,1.08289,1.08392,1.08268,1.08278,4105.0
2024-03-27 10:00:00+00:00,1.08278,1.08349,1.08262,1.0833,2751.0
2024-03-27 11:00:00+00:00,1.0833,1.08353,1.0818,1.0821,2389.0
2024-03-27 12:00:00+00:00,1.0821,1.08217,1.08152,1.08189,3106.0
2024-03-27 13:00:00+00:00,1.08189,1.08194,1.08109,1.0817,3818.0
2024-03-27 14:00:00+00:00,1.0817,1.08213,1.08137,1.08146,3950.0
2024-03-27 15:00:00+00:00,1.08146,1.08227,1.08138,1.08203,3300.0
2024-03-27 16:00:00+00:00,1.08203,1.08258,1.08189,1.08231,2868.0
2024-03-27 17:00:00+00:00,1.08231,1.08252,1.08175,1.08192,2602.0
2024-03-27 18:00:00+00:00,1.08192,1.08233,1.08185,1.08224,2119.0
2024-03-27 19:00:00+00:00,1.08224,1.08276,1.08206,1.08272,1967.0
2024-03-27 20:00:00+00:00,1.08272,1.08292,1.08264,1.08278,765.0
2024-03-27 21:00:00+00:00,1.08278,1.0828,1.08248,1.08268,1718.0
2024-03-27 22:00:00+00:00,1.08268,1.08269,1.08101,1.08136,1448.0
2024-03-27 23:00:00+00:00,1.08136,1.0815,1.08112,1.08126,1612.0
2024-03-28 00:00:00+00:00,1.08126,1.08204,1.08081,1.08176,2203.0
